distance,quantity,expiry_hours,food_category,biodegradability_factor,urgency_score
19.039735882944445,51,17,1,0.35897186129625835,64.74312670475973
47.56035816729085,71,61,1,0.9847136406252335,36.96363389152694
36.733700119664555,96,10,1,0.1376765161488099,67.01425985658922
30.13359496775331,48,31,1,0.9901408726820368,63.52852929727633
8.222922701900607,19,60,0,0.14297674697055687,34.75663415911846
8.221728756642031,6,70,2,0.3595072850152173,6.2263962080713515
3.3751388023258735,84,17,1,0.5443217694724151,68.01382675542752
43.37571921585929,27,50,2,0.2289685087128927,21.568982003684283
30.255193081288837,53,37,0,0.22136172626685147,56.43281869871659
35.549592600904255,48,62,2,0.3306814419348513,12.776166562906566
1.5189324676422211,7,72,2,0.9761564652162126,15.343231044886457
48.51053768201872,59,29,1,0.4421051729871077,55.62245370159557
41.705910719620874,69,32,1,0.6093953544422727,55.92755769607781
11.01078597857467,11,11,0,0.7338622621434817,88.4163554204773
9.50033587675148,15,6,2,0.7679996519717893,69.90215565987683
9.578523237744974,64,35,0,0.7192368697108193,66.98297370659884
15.559991026497118,3,33,0,0.40323537387255237,63.17139316504766
26.475443365795773,69,18,0,0.20055504462045623,72.82944205463932
21.88127842278473,23,37,1,0.35354482779988977,47.00127680713805
14.915842439803075,53,13,1,0.289265704092556,67.04230280055008
30.786718288757783,37,64,2,0.2226495743823851,9.105218751604156
7.404946102276071,9,1,2,0.12204705857645684,62.91514293338899
14.961160102493299,15,63,2,0.9421532641525727,22.68394550623744
18.634911243037738,3,34,1,0.9289309478908044,59.801501220954414
23.075464218743278,93,10,1,0.14537530506715235,67.15011333260698
39.366210088954176,70,7,0,0.2557761155383616,83.50922391584795
10.383852216838807,17,56,1,0.2255504243165143,27.9788970024405
25.954604701473773,26,37,0,0.3531006409793656,58.75749465493898
29.824521158671104,21,29,0,0.283661983430867,64.59060787384273
2.7992954296398875,72,12,1,0.9512681836580695,79.60635836931394
30.573470169121197,21,17,0,0.17575339290418346,73.27409422533262
8.94094412252093,11,48,0,0.2905037443040529,47.947558352782124
3.7200538527713363,38,26,2,0.172650974124623,41.75049886753348
47.469834094039996,72,12,0,0.9823468137799928,91.91883049306988
48.29878563719069,88,21,1,0.9265721581873045,71.22983242529541
40.515668731764826,35,42,1,0.7449684307888699,49.49684958628432
15.578381574081849,14,61,0,0.483375728997922,39.881038991993144
5.334769643316002,14,58,2,0.2711603219715933,15.25506868147277
